protein_id,cpbb,aa_entropy_k3
CP002988.1_390,0.07755820200908334,7.6209435141395785
CP002988.1_405,0.08540202134843951,7.551006260065987
CP002988.1_491,0.2581730513657104,5.672268804433747
CP002988.1_681,0.1490515683067338,8.217349378099728
CP002988.1_742,0.1859668691768744,8.51147130949057
CP002988.1_830,0.13422949487780825,7.751278893825123
CP002988.1_1138,0.13579343684478487,8.01208685713375
CP002988.1_1221,0.12957105360322047,7.803160757935753
CP002988.1_1369,0.2153507580454949,6.942514505339227
CP002988.1_1393,0.14979284380923227,6.667083051455081
CP002988.1_2289,0.2323593235292026,6.527750345173053
CP002988.1_2662,0.19871396926378448,7.601300447397846
CP002988.1_2806,0.07783757450424118,7.674497099868614
CP002988.1_2902,0.06991979450642284,7.082813763746291
CP002988.1_3010,0.15898806536987917,7.0471859674212265
CP002989.1_246,0.08551129394078531,8.545957356346623
CP002989.1_297,0.09679720007592492,7.622207307730394
CP002989.1_300,0.042896914656397556,8.686403604495702
CP002989.1_518,0.08543506986022496,8.546805791659676
KI543199.1_98,0.1440437768341384,8.023786107148172
KI543200.1_1,0.173414466932711,8.048850106025347
KI543203.1_44,0.21045213179395583,7.567694041914445
KI543208.1_4,0.21429449657538324,8.428141701928858
KI543216.1_179,0.13535558632964875,5.814846439192345
KI543219.1_68,0.20882802195999242,6.942514505339227
KI543219.1_152,0.17369094018862533,5.285402218862247
JWIH01000011.1_96,0.05766325549238715,6.727920454563184
JWIH01000012.1_128,0.048312600383952,7.566304672724006
JWIH01000020.1_61,0.05867402705062527,6.667083051455081
JWIH01000020.1_419,0.032269350669134264,7.447408651885216
JWIH01000021.1_67,0.06279647379576292,7.477746439569363
JWIH01000024.1_104,0.026439437079853148,8.1486425548181
JWIH01000025.1_277,0.06896903748765361,8.1630574297153
JWIH01000025.1_418,0.04951166816800931,7.293649797369261
LQMQ01000002.1_36,0.29833932545796954,5.832890014164737
LQMQ01000005.1_32,0.12934111021636965,6.7227753976160916
LQMQ01000007.1_22,0.041697245262002414,7.155822250285672
LQMQ01000014.1_16,0.13764662972495376,7.408893541297613
LQMQ01000021.1_4,0.15927585465627966,8.315578920295376
LQMQ01000048.1_8,0.15311658241244633,6.5066977135941055
LQMQ01000059.1_1,0.3119600018902113,5.832890014164737
LKMX01000003.1_3,0.135959830839718,7.596166075604619
LMZT01000011.1_33,0.03784582544289187,7.844483071985339
LMZT01000027.1_12,0.08496572156365971,6.527750345173053
LMZT01000037.1_54,0.04020667225593995,8.236557050637362
LMZT01000130.1_45,0.054730516360897735,7.70408380883102
LMZT01000130.1_46,0.05249112883634036,7.237414727854902
LMZT01000142.1_33,0.04278621610659303,7.796003413439212
LMZT01000169.1_10,0.043542951880714637,8.43948956862444
MGPE01000002.1_76,0.024271535945385683,6.933784284662096
MGPE01000002.1_107,0.05226656620723993,6.740361812296066
MGPE01000003.1_14,0.03911855990217485,9.57143654349454
MGPE01000005.1_182,0.0996902452629143,6.63320965569699
MGPE01000005.1_240,0.05175911876381325,8.784737571570092
