genome_accession,protein_id,category,raw_knn_distance,evt_novelty_score,is_positive
GB_GCA_000224475.1,CP002988.1_390,positive,0.04310754125115206,0.9858227859497768,True
GB_GCA_000224475.1,CP002988.1_405,positive,0.027273945594297588,0.0,True
GB_GCA_000224475.1,CP002988.1_491,positive,0.036556963546665044,0.9649149196462762,True
GB_GCA_000224475.1,CP002988.1_681,positive,0.02710108717645928,0.0,True
GB_GCA_000224475.1,CP002988.1_742,positive,0.038741823900221926,0.9742960145739255,True
GB_GCA_000224475.1,CP002988.1_830,positive,0.024434461882073443,0.0,True
GB_GCA_000224475.1,CP002988.1_1138,positive,0.047218247396283684,0.9916604330453321,True
GB_GCA_000224475.1,CP002988.1_1221,positive,0.03164680672135488,0.9268058523809055,True
GB_GCA_000224475.1,CP002988.1_1369,positive,0.03449700117725983,0.9525375228342476,True
GB_GCA_000224475.1,CP002988.1_1393,positive,0.030644291855937433,0.9143822631748444,True
GB_GCA_000224475.1,CP002988.1_2289,positive,0.028823018047657946,0.0,True
GB_GCA_000224475.1,CP002988.1_2662,positive,0.024148311881299657,0.0,True
GB_GCA_000224475.1,CP002988.1_2806,positive,0.02889437728124794,0.0,True
GB_GCA_000224475.1,CP002988.1_2902,positive,0.028991259069162712,0.0,True
GB_GCA_000224475.1,CP002988.1_3010,positive,0.026570787512168383,0.0,True
GB_GCA_000224475.1,CP002989.1_246,positive,0.0454643537614486,0.9895761920963332,True
GB_GCA_000224475.1,CP002989.1_297,positive,0.03387222916817918,0.9478901411026743,True
GB_GCA_000224475.1,CP002989.1_300,positive,0.036897176217135855,0.9665948555290159,True
GB_GCA_000224475.1,CP002989.1_518,positive,0.04535828925113004,0.9894329745433521,True
GB_GCA_000496215.1,KI543199.1_98,positive,0.03210407442919986,0.9318039176697072,True
GB_GCA_000496215.1,KI543200.1_1,positive,0.03463114458547495,0.9534748966496017,True
GB_GCA_000496215.1,KI543203.1_44,positive,0.024030145610991593,0.0,True
GB_GCA_000496215.1,KI543208.1_4,positive,0.028915061920014872,0.0,True
GB_GCA_000496215.1,KI543216.1_179,positive,0.015107654827034722,0.0,True
GB_GCA_000496215.1,KI543219.1_68,positive,0.04077365415300094,0.9805962627604005,True
GB_GCA_000496215.1,KI543219.1_152,positive,0.036546314086731,0.9648608595243856,True
GB_GCA_000814665.1,JWIH01000011.1_96,positive,0.024830779033395,0.0,True
GB_GCA_000814665.1,JWIH01000012.1_128,positive,0.01917492246305773,0.0,True
GB_GCA_000814665.1,JWIH01000020.1_61,positive,0.023089684061142268,0.0,True
GB_GCA_000814665.1,JWIH01000020.1_419,positive,0.0281378418660884,0.0,True
GB_GCA_000814665.1,JWIH01000021.1_67,positive,0.027395460446832953,0.0,True
GB_GCA_000814665.1,JWIH01000024.1_104,positive,0.01595243208986642,0.0,True
GB_GCA_000814665.1,JWIH01000025.1_277,positive,0.04062640727301718,0.9802018566870517,True
