protein_id,genos_m_novelty
CP002988.1_390,0.008158130961887954
CP002988.1_405,0.008976225366765322
CP002988.1_491,0.00956480860507707
CP002988.1_681,0.009191301042523036
CP002988.1_742,0.016362592274966347
CP002988.1_830,0.013780922545139917
CP002988.1_1138,0.024726042273956007
CP002988.1_1221,0.007911365189187647
CP002988.1_1369,0.009442121268697456
CP002988.1_1393,0.012402516174046575
CP002988.1_2289,0.009480561195017546
CP002988.1_2662,0.009496114785206733
CP002988.1_2806,0.03925094827433584
CP002988.1_2902,0.00642926475487029
CP002988.1_3010,0.007684572670936696
CP002989.1_246,0.01486516478459221
CP002989.1_297,0.008425653064986816
CP002989.1_300,0.01869046460665691
CP002989.1_518,0.013731502996312761
KI543199.1_98,0.014133135343059867
KI543200.1_1,0.012209374911508619
KI543203.1_44,0.00818211238269122
KI543208.1_4,0.033631953219647716
KI543216.1_179,0.003819118566926227
KI543219.1_68,0.009095523458123988
KI543219.1_152,0.004157312317586514
JWIH01000011.1_96,0.0052737601395415725
JWIH01000012.1_128,0.00567485438294475
JWIH01000020.1_61,0.0050304517788185565
JWIH01000020.1_419,0.009030742592248186
JWIH01000021.1_67,0.00924692511969707
JWIH01000024.1_104,0.005640777073357128
JWIH01000025.1_277,0.017474691949352007
JWIH01000025.1_418,0.006084993013961726
LQMQ01000002.1_36,0.003988628752719703
LQMQ01000005.1_32,0.005203198439753409
LQMQ01000007.1_22,0.005795108585479736
LQMQ01000014.1_16,0.005396610732077378
LQMQ01000021.1_4,0.005702701484130546
LQMQ01000048.1_8,0.0056625284851748335
LQMQ01000059.1_1,0.004041125029906234
LKMX01000003.1_3,0.011482678424528481
LMZT01000011.1_33,0.013491020524980435
LMZT01000027.1_12,0.008304114784705186
LMZT01000037.1_54,0.006347965897856023
LMZT01000130.1_45,0.017209589653398204
LMZT01000130.1_46,0.01775683801861605
LMZT01000142.1_33,0.0070359869379245325
LMZT01000169.1_10,0.015704823702389216
MGPE01000002.1_76,0.004842134779728724
MGPE01000002.1_107,0.007933329245916632
MGPE01000003.1_14,0.007403322256073319
MGPE01000005.1_182,0.005394473351002715
MGPE01000005.1_240,0.017448362678986706
MGPE01000005.1_249,0.011341640951734266
MGPE01000005.1_281,0.016870757064901754
MGPE01000015.1_63,0.009884720971923633
MNUO01000065.1_9,0.005693893170774911
MNUO01000132.1_15,0.004466792396186236
MNUO01000016.1_5,0.0069964527556285235
