protein_id,is_positive,layer1_novelty,layer3_nonself_score,layer3_flag
CP002988.1_390,True,0.9983342134004254,0.0006,True
CP002988.1_405,True,0.9974657429711701,0.0006,True
CP002988.1_491,True,0.9133832132697373,0.0,False
CP002988.1_681,True,0.7310661924178017,0.0,False
CP002988.1_742,True,0.922660232593247,0.0002,False
CP002988.1_830,True,0.9944280644065339,0.0,False
CP002988.1_1138,True,0.998603697504795,0.0018,True
CP002988.1_1221,True,0.5766461351609266,0.0,False
CP002988.1_1369,True,0.9975370958793828,0.0002,False
CP002988.1_1393,True,0.975254623518375,0.0002,False
CP002988.1_2289,True,0.9658120488655533,0.0002,False
CP002988.1_2662,True,0.7414765333564675,0.0,False
CP002988.1_2806,True,0.999915346044283,0.0,False
CP002988.1_2902,True,0.9938534254834788,0.0006,True
CP002988.1_3010,True,0.9972134381032872,0.0,False
CP002989.1_246,True,0.9967661302846657,0.0,False
CP002989.1_297,True,0.9977519041749718,0.0006,True
CP002989.1_300,True,0.9962299358357453,0.0,False
CP002989.1_518,True,0.9969142499315766,0.0,False
KI543199.1_98,True,0.9972526091473692,0.0012,True
KI543200.1_1,True,0.9199418767480234,0.0004,False
KI543203.1_44,True,0.7524073913420665,0.0,False
KI543208.1_4,True,0.9836366364803341,0.0,False
KI543216.1_179,True,0.8019432636418843,0.0,False
KI543219.1_68,True,0.9981623292876768,0.0004,False
KI543219.1_152,True,0.9981818516517714,0.0002,False
JWIH01000011.1_96,True,0.9961841120846361,0.0,False
JWIH01000012.1_128,True,0.9981085549583312,0.0002,False
JWIH01000020.1_61,True,0.9967017143805612,0.0016,True
JWIH01000020.1_419,True,0.8297909256528151,0.0004,False
JWIH01000021.1_67,True,0.9981719532971843,0.0002,False
JWIH01000024.1_104,True,0.9641155366856341,0.0,False
JWIH01000025.1_277,True,0.999681714656113,0.0008,True
JWIH01000025.1_418,True,0.8960700962956537,0.0,False
LQMQ01000002.1_36,True,0.999527223926174,0.0006,True
LQMQ01000005.1_32,True,0.9864636428745234,0.0012,True
LQMQ01000007.1_22,True,0.9298590332953659,0.0,False
LQMQ01000014.1_16,True,0.9997448194870514,0.0012,True
LQMQ01000021.1_4,True,0.9953220192650543,0.0004,False
LQMQ01000048.1_8,True,0.9057908706698181,0.0004,False
LQMQ01000059.1_1,True,0.9995303670995797,0.0006,True
LKMX01000003.1_3,True,0.9989208407824454,0.0024,True
LMZT01000011.1_33,True,0.8395072438622365,0.0,False
LMZT01000027.1_12,True,0.9280974111487317,0.0,False
LMZT01000037.1_54,True,0.9976397350621972,0.0002,False
LMZT01000130.1_45,True,0.9983555459616792,0.0,False
LMZT01000130.1_46,True,0.999316439891916,0.0006,True
LMZT01000142.1_33,True,0.9992377026816153,0.0002,False
LMZT01000169.1_10,True,0.9852916842205489,0.0008,True
MGPE01000002.1_76,True,0.9974641933576555,0.0002,False
MGPE01000002.1_107,True,0.9802616699982447,0.0002,False
MGPE01000003.1_14,True,0.96796895197415,0.0004,False
MGPE01000005.1_182,True,0.9231862503460507,0.0,False
MGPE01000005.1_240,True,0.9684386328825472,0.0012,True
MGPE01000005.1_249,True,0.9042006308060199,0.0002,False
MGPE01000005.1_281,True,0.8184263034614384,0.0,False
MGPE01000015.1_63,True,0.9990663182502133,0.0012,True
MNUO01000065.1_9,True,0.9008662743362574,0.0004,False
MNUO01000132.1_15,True,0.960467218284735,0.0002,False
MNUO01000016.1_5,True,0.9699365291044519,0.0002,False
MNUO01000064.1_7,True,0.5527023510019953,0.0,False
MNUO01000045.1_5,True,0.9960510397151077,0.0002,False
MNUO01000110.1_6,True,0.8353431074867702,0.0,False
MNUP01000052.1_13,True,0.9997918370423343,0.0008,True
MNUP01000041.1_10,True,0.9959344099050715,0.0004,False
MNUP01000020.1_2,True,0.9882402058897072,0.0014,True
MNUP01000146.1_2,True,0.5501865186084844,0.0002,False
MNUP01000084.1_11,True,0.8480090222954801,0.0,False
MNUP01000087.1_20,True,0.750759087360111,0.0,False
MNUP01000059.1_1,True,0.9010420067238849,0.0,False
MNUP01000059.1_2,True,0.9042383022653284,0.0,False
MNUP01000008.1_4,True,0.9851136903483697,0.0002,False
MNYV01000029.1_13,True,0.9972433018070173,0.0002,False
MNYV01000061.1_1,True,0.9989903393558852,0.0006,True
MNYV01000182.1_5,True,0.9985922442331551,0.0014,True
MNYV01000135.1_6,True,0.9953288044977752,0.0002,False
MNYV01000023.1_28,True,0.9979932047809408,0.001,True
MNYV01000183.1_1,True,0.8769844712414332,0.0,False
